1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
33,15,22,10,14,20,9,32,58,48,61,7,64,24,33,6,7,49,16,36,21,29,106,29,44,88
92,39,44,124,26,116,16,128,37,41,122,70,32,30,40,9,30,54,40,62,56,130,61,42,82,143
104,151,74,229,227,199,55,120,124,175,70,85,119,22,94,23,113,101,252,116,192,83,141,171,44,82
178,15,88,225,319,181,134,147,170,49,110,79,206,51,80,45,69,166,49,86,122,88,152,184,94,180
28,5,35,49,79,11,12,9,37,27,11,32,52,45,6,54,30,55,76,21,104,3,99,26,20,115
7,1,5,16,28,27,3,37,6,1,18,2,17,21,9,35,6,13,88,28,86,45,15,38,3,26
-,-,-,1,-,1,-,3,-,-,0,0,0,0,0,-,-,11,4,1,3,15,15,-,7,3
-,-,-,-,-,1,-,2,1,-,0,2,0,0,0,3,7,-,8,14,0,46,4,1,6,-
7,5,-,-,27,1,-,3,2,7,0,13,13,0,0,1,3,4,33,5,4,3,2,2,1,11
61,-,1,7,4,3,12,25,6,25,1,25,23,5,6,14,11,16,41,1,4,9,9,35,-,24
11,9,13,23,25,29,10,15,27,23,20,45,23,44,5,5,9,19,8,9,50,13,19,46,24,47
3,25,33,45,36,10,20,23,48,9,5,29,21,40,4,2,11,4,8,12,50,32,30,46,24,37
